取得日,詳細URL,検索タイトル,店舗名,ジャンル1,ジャンル2,ジャンル3,ジャンル4,評価,都道府県,住所,電話番号,予算_昼_下限,予算_昼_上限,予算_夜_下限,予算_夜_上限
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13136076/,銀座,KollaBo銀座店（コラボ）,焼肉,韓国料理,居酒屋,,3.43,東京都,東京都中央区銀座3-4-18 大倉別館ビル 1F,050-5869-4082,,￥999,"￥4,000","￥4,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13002287/,銀座,バール・エ・リストランテ・タブリエ（BareRistoranteTABLIER）,イタリアン,ダイニングバー,パスタ,,3.57,東京都,東京都中央区銀座3-4-5 銀三ビルＢ１Ｆ,050-5868-9390,"￥1,000","￥1,999","￥4,000","￥4,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13146665/,銀座,GinzaＢａｒL'aurora（ラウローラ）,ダイニングバー,バー,イタリアン,,3.12,東京都,東京都中央区銀座6-12-16 銀座片桐ビル\u2161 3F,050-5570-5435,,￥999,"￥4,000","￥4,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13041887/,銀座,銀座あまくさ総本店,馬肉料理,鳥料理,水炊き,,3.54,東京都,東京都中央区銀座5-4-5 与板屋ビル３Ｆ,050-5868-6530,,,"￥6,000","￥7,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13206577/,銀座,焼肉山水銀座店,焼肉,ステーキ,牛タン,,3.40,東京都,東京都中央区銀座6-10-1 GINZA SIX 6F,050-5593-7398,"￥3,000","￥3,999","￥8,000","￥9,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13164501/,銀座,GINZA芳園,中華料理,広東料理,飲茶・点心,,3.54,東京都,東京都中央区銀座7-8-15 第二新橋会館  6F,050-5593-0696,"￥2,000","￥2,999","￥8,000","￥9,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13226355/,銀座,山小屋バルRoot7合目銀座コリドー街店,バル・バール,居酒屋,イタリアン,,3.19,東京都,東京都中央区銀座5-1-16 西山興業西銀座ビル 7F,050-5596-2525,,,"￥4,000","￥4,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13214596/,銀座,YAKINIKUAFIVE徳,焼肉,ホルモン,ダイニングバー,,3.06,東京都,東京都中央区銀座8-3-1 TOKIDEN 9F,050-5269-8182,"￥1,000","￥1,999","￥6,000","￥7,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13167406/,銀座,踊る魚銀座店,居酒屋,和食（その他）,ダイニングバー,,3.24,東京都,東京都中央区銀座2-6-9 銀座269ビル 6F,050-5890-8463,,,"￥3,000","￥3,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13146019/,銀座,小割烹おはし銀座,京料理,割烹・小料理,居酒屋,,3.44,東京都,東京都中央区銀座7-2 銀座コリドー,050-5869-0897,,,"￥4,000","￥4,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13115780/,銀座,中国菜老四川飄香銀座三越店,四川料理,中華麺（その他）,中華料理,,3.72,東京都,東京都中央区銀座4-6-16 銀座三越  12F,050-3171-7024,"￥2,000","￥2,999","￥6,000","￥7,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13032773/,銀座,香季庵（こうきあん）,懐石・会席料理,ダイニングバー,創作料理,,3.53,東京都,東京都中央区銀座7-14-7 共栄銀座７丁目ビル１Ｆ・２Ｆ,050-5595-2266,,￥999,"￥4,000","￥4,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13222299/,銀座,粋な肉銀座店,居酒屋,ダイニングバー,牛料理,,3.06,東京都,東京都中央区銀座3-4-17 銀座オプティカビル 4F、5F,050-5595-6926,,,"￥4,000","￥4,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13148122/,銀座,塊-KATAMARI-ミートバル銀座（カタマリミートバル）,ダイニングバー,居酒屋,ステーキ,,3.25,東京都,東京都中央区銀座西2-2 銀座インズ2 B1F,050-5869-5637,,￥999,"￥3,000","￥3,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13220798/,銀座,いぞら,イタリアン,創作料理,ピザ,,3.43,東京都,東京都中央区銀座6-3-14 ,03-5537-7371,"￥2,000","￥2,999","￥6,000","￥7,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13005021/,銀座,松玄凛（まつげんりん）,そば,居酒屋,和食（その他）,,3.61,東京都,東京都中央区銀座7-8-7 ＧＩＮＺＡＧＲＥＥＮ４Ｆ,050-5869-2573,"￥1,000","￥1,999","￥8,000","￥9,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13207608/,銀座,地鶏専門個室居酒屋鳥銀銀座店,居酒屋,ダイニングバー,鳥料理,,3.06,東京都,東京都中央区銀座2-11-15 SF銀座ビル B1F,050-5593-8150,,,"￥2,000","￥2,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13015359/,銀座,鉢や（GRILLBAR鉢や）,居酒屋,おでん,ダイニングバー,,3.24,東京都,東京都中央区銀座7-2 先銀座コリドー街208,050-5869-2600,,,"￥3,000","￥3,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13148124/,銀座,cafe＆diningballoballo銀座（カフェアンドダイニングバロバロ）,イタリアン,カフェ,居酒屋,,3.22,東京都,東京都中央区銀座西3-1 銀座インズ1  2F,050-5869-5638,,￥999,"￥3,000","￥3,999"
2020-04-04,https://tabelog.com/tokyo/A1301/A130101/13210144/,銀座,銀座秋田県産比内地鶏専門店美郷錦（ミサトニシキ）,居酒屋,割烹・小料理,鳥料理,,3.26,東京都,東京都中央区銀座6-2-1 DAIWA銀座ビル B2F,050-5593-9947,,,"￥3,000","￥3,999"
